ID;Occupation;Code
124;Trabalhador da fabricação de alimentos, bebidas, fumo e de agroindústrias;840
125;Operador de instalações de produção e distribuição de energia;860
126;Trabalhador de outras instalações agroindustriais;870
127;Trabalhador de reparação e manutenção;900
128;Militar da Aeronáutica;10
129;Militar do Exército;20
130;Militar da Marinha;30
131;Policial Militar;40
132;Bombeiro Militar;50
133;Outras ocupações não classificadas anteriormente;0
